"AA","Int","Probibility","P_value","delabel"
"CP","I6","-2.7714e-05","0.311593148602419",NA
"CQ","I2_P","0","0.366849446280793",NA
"CQ","I3_P","0","0.368910398226179",NA
"CQ","I2_A","-0.000575885","0.306826434143391",NA
"CQ","I3_A","-0.000575885","0.306826434143391",NA
"CQ","I1","0.00521765675159236","0.367386754197858",NA
"CQ","I4","0.00521765675159236","0.367386754197858",NA
"CQ","I5","-0.000575885","0.305343622898658",NA
"CQ","I6","-0.000575885","0.311593148602419",NA
"CR","I2_P","0","0.366849446280793",NA
"CR","I3_P","0","0.368910398226179",NA
"CR","I2_A","-0.000534165","0.306826434143391",NA
"CR","I3_A","-0.000534165","0.306826434143391",NA
"CR","I1","-0.00106833","0.33228610889228",NA
"CR","I4","-0.00106833","0.33228610889228",NA
"CR","I5","-0.000534165","0.305343622898658",NA
"CR","I6","-0.000534165","0.311593148602419",NA
"CS","I2_P","0","0.366849446280793",NA
"CS","I3_P","0","0.368910398226179",NA
"CS","I2_A","-0.00038144","0.306826434143391",NA
"CS","I3_A","-0.00038144","0.306826434143391",NA
"CS","I1","-0.00076288","0.33228610889228",NA
"CS","I4","-0.00076288","0.33228610889228",NA
"CS","I5","-0.00038144","0.305343622898658",NA
"CS","I6","-0.00038144","0.311593148602419",NA
"CT","I2_P","0","0.366849446280793",NA
"CT","I3_P","0","0.368910398226179",NA
"CT","I2_A","-0.000215305","0.306826434143391",NA
"CT","I3_A","0.0063206427124183","0.363910421891001",NA
"CT","I1","-0.00043061","0.33228610889228",NA
"CT","I4","-0.00043061","0.33228610889228",NA
"CT","I5","-0.000215305","0.305343622898658",NA
"CT","I6","-0.000215305","0.311593148602419",NA
"CV","I2_P","0","0.366849446280793",NA
"CV","I3_P","0","0.368910398226179",NA
"CV","I2_A","-0.000333015","0.306826434143391",NA
"CV","I3_A","-0.000333015","0.306826434143391",NA
"CV","I1","-0.00066603","0.33228610889228",NA
"CV","I4","-0.00066603","0.33228610889228",NA
"CV","I5","-0.000333015","0.305343622898658",NA
"CV","I6","-0.000333015","0.311593148602419",NA
"CW","I2_P","0","0.366849446280793",NA
"CW","I3_P","0","0.368910398226179",NA
"CW","I2_A","-2.7714e-05","0.306826434143391",NA
"CW","I3_A","-2.7714e-05","0.306826434143391",NA
"CW","I1","-5.5428e-05","0.33228610889228",NA
"CW","I4","-5.5428e-05","0.33228610889228",NA
"CW","I5","-2.7714e-05","0.305343622898658",NA
"CW","I6","-2.7714e-05","0.311593148602419",NA
"CY","I2_P","0","0.366849446280793",NA
"CY","I3_P","0","0.368910398226179",NA
"CY","I2_A","-0.000111005","0.306826434143391",NA
"CY","I3_A","-0.000111005","0.306826434143391",NA
"CY","I1","-0.00022201","0.33228610889228",NA
"CY","I4","-0.00022201","0.33228610889228",NA
"CY","I5","-0.000111005","0.305343622898658",NA
"CY","I6","-0.000111005","0.311593148602419",NA
"DA","I2_P","0","0.366849446280793",NA
"DA","I3_P","0","0.368910398226179",NA
