"AA","Int","Probibility","P_value","delabel"
"CI","I5","0","0.268081696093435",NA
"CI","I6","0","0.257629827044182",NA
"CK","I2_P","0","0.248328418900775",NA
"CK","I3_P","0","0.255638395988965",NA
"CK","I2_A","0","0.240925848035997",NA
"CK","I3_A","0","0.240925848035997",NA
"CK","I1","0","0.265828908731312",NA
"CK","I4","0","0.265828908731312",NA
"CK","I5","0.00641025641025641","0.354413089750588",NA
"CK","I6","0","0.257629827044182",NA
"CL","I2_P","0","0.248328418900775",NA
"CL","I3_P","0","0.255638395988965",NA
"CL","I2_A","0","0.240925848035997",NA
"CL","I3_A","0.0065359477124183","0.344501446257088",NA
"CL","I1","0","0.265828908731312",NA
"CL","I4","0","0.265828908731312",NA
"CL","I5","0","0.268081696093435",NA
"CL","I6","0.00632911392405063","0.350909592008483",NA
"CM","I2_P","0","0.248328418900775",NA
"CM","I3_P","0","0.255638395988965",NA
"CM","I2_A","0","0.240925848035997",NA
"CM","I3_A","0","0.240925848035997",NA
"CM","I1","0","0.265828908731312",NA
"CM","I4","0","0.265828908731312",NA
"CM","I5","0","0.268081696093435",NA
"CM","I6","0","0.257629827044182",NA
"CN","I2_P","0","0.248328418900775",NA
"CN","I3_P","0","0.255638395988965",NA
"CN","I2_A","0","0.240925848035997",NA
"CN","I3_A","0","0.240925848035997",NA
"CN","I1","0","0.265828908731312",NA
"CN","I4","0","0.265828908731312",NA
"CN","I5","0","0.268081696093435",NA
"CN","I6","0","0.257629827044182",NA
"CP","I2_P","0","0.248328418900775",NA
"CP","I3_P","0","0.255638395988965",NA
"CP","I2_A","0","0.240925848035997",NA
"CP","I3_A","0","0.240925848035997",NA
"CP","I1","0","0.265828908731312",NA
"CP","I4","0","0.265828908731312",NA
"CP","I5","0","0.268081696093435",NA
"CP","I6","0","0.257629827044182",NA
"CQ","I2_P","0","0.248328418900775",NA
"CQ","I3_P","0","0.255638395988965",NA
"CQ","I2_A","-0.00925925925925926","0.240925848035997",NA
"CQ","I3_A","0","0.240925848035997",NA
"CQ","I1","0.00636942675159236","0.353687615854401",NA
"CQ","I4","0.00636942675159236","0.353687615854401",NA
"CQ","I5","0","0.268081696093435",NA
"CQ","I6","0","0.257629827044182",NA
"CR","I2_P","0","0.248328418900775",NA
"CR","I3_P","0","0.255638395988965",NA
"CR","I2_A","0","0.240925848035997",NA
"CR","I3_A","0","0.240925848035997",NA
"CR","I1","0","0.265828908731312",NA
"CR","I4","0","0.265828908731312",NA
"CR","I5","0","0.268081696093435",NA
"CR","I6","-0.00854700854700855","0.257629827044182",NA
"CS","I2_P","0","0.248328418900775",NA
"CS","I3_P","0","0.255638395988965",NA
"CS","I2_A","0","0.240925848035997",NA
"CS","I3_A","-0.00925925925925926","0.240925848035997",NA
"CS","I1","0","0.265828908731312",NA
"CS","I4","0","0.265828908731312",NA
"CS","I5","0","0.268081696093435",NA
"CS","I6","0","0.257629827044182",NA
"CT","I2_P","0","0.248328418900775",NA
"CT","I3_P","0","0.255638395988965",NA
"CT","I2_A","0","0.240925848035997",NA
"CT","I3_A","-0.00272331154684096","0.344501446257088",NA
"CT","I1","0","0.265828908731312",NA
"CT","I4","0","0.265828908731312",NA
"CT","I5","0","0.268081696093435",NA
"CT","I6","0","0.257629827044182",NA
"CV","I2_P","0","0.248328418900775",NA
"CV","I3_P","0","0.255638395988965",NA
"CV","I2_A","0","0.240925848035997",NA
"CV","I3_A","0","0.240925848035997",NA
"CV","I1","0","0.265828908731312",NA
"CV","I4","0","0.265828908731312",NA
"CV","I5","0","0.268081696093435",NA
"CV","I6","0","0.257629827044182",NA
"CW","I2_P","0","0.248328418900775",NA
"CW","I3_P","0","0.255638395988965",NA
"CW","I2_A","0","0.240925848035997",NA
"CW","I3_A","0","0.240925848035997",NA
"CW","I1","0","0.265828908731312",NA
"CW","I4","0","0.265828908731312",NA
"CW","I5","0","0.268081696093435",NA
"CW","I6","0","0.257629827044182",NA
"CY","I2_P","0","0.248328418900775",NA
"CY","I3_P","0","0.255638395988965",NA
"CY","I2_A","0","0.240925848035997",NA
