,AA,Int,CCplus_APCCvsPCC_asAPCC,CCplus_expected_asAPCC,CCplus_APCCvsPCC_asPCC,CCplus_expected_asPCC
224,CI,I6,0,-0.000492445,0,-0.000492445
225,CK,I2_P,0,-0.000874585,0,0
226,CK,I3_P,0,-0.000863372,0,0
227,CK,I2_A,0,-0.000555025,0,-0.000555025
228,CK,I3_A,0,-0.000555025,0,-0.000555025
229,CK,I1,0,-0.000986711,0,-0.00111005
230,CK,I4,-0.012578616,-0.000986711,0,-0.00111005
231,CK,I5,0,-0.000555025,0.006410256,0.005855231
232,CK,I6,0,-0.000555025,0,-0.000555025
233,CL,I2_P,0.018691589,0.016801546,0,0
234,CL,I3_P,-0.007961973,0.016316007,0,0
235,CL,I2_A,0,-0.00119945,0,-0.00119945
236,CL,I3_A,-0.005649718,-0.00119945,0.006535948,0.005336498
237,CL,I1,0,-0.002132356,0,-0.0023989
238,CL,I4,0,-0.002132356,0,-0.0023989
239,CL,I5,-0.012738854,-0.00119945,0,-0.00119945
240,CL,I6,0.002033935,0.007203911,0.006329114,0.005129664
241,CM,I2_P,0,-0.000316964,0,0
242,CM,I3_P,0,-0.0003129,0,0
243,CM,I2_A,0.007751938,0.007550788,0,-0.00020115
244,CM,I3_A,0,-0.00020115,0,-0.00020115
245,CM,I1,0,-0.0003576,0,-0.0004023
246,CM,I4,0,-0.0003576,0,-0.0004023
247,CM,I5,0,-0.00020115,0,-0.00020115
248,CM,I6,0,-0.00020115,0,-0.00020115
249,CN,I2_P,0,-0.000360399,0,0
250,CN,I3_P,0,-0.000355779,0,0
251,CN,I2_A,0,-0.000228715,0,-0.000228715
252,CN,I3_A,-0.005649718,-0.000228715,0,-0.000228715
253,CN,I1,0,-0.000406604,0,-0.00045743
254,CN,I4,0,-0.000406604,0,-0.00045743
255,CN,I5,0,-0.000228715,0,-0.000228715
256,CN,I6,0,-0.000228715,0,-0.000228715
257,CP,I2_P,0,-4.37E-05,0,0
258,CP,I3_P,0,-4.31E-05,0,0
259,CP,I2_A,0,-2.77E-05,0,-2.77E-05
260,CP,I3_A,0,-2.77E-05,0,-2.77E-05
261,CP,I1,0,-4.93E-05,0,-5.54E-05
262,CP,I4,0,-4.93E-05,0,-5.54E-05
263,CP,I5,0,-2.77E-05,0,-2.77E-05
264,CP,I6,0,-2.77E-05,0,-2.77E-05
265,CQ,I2_P,0,-0.000907455,0,0
266,CQ,I3_P,0,-0.000895821,0,0
267,CQ,I2_A,0,-0.000575885,-0.009259259,-0.000575885
268,CQ,I3_A,0,-0.000575885,0,-0.000575885
269,CQ,I1,0,-0.001023796,0.006369427,0.005217657
270,CQ,I4,0,-0.001023796,0.006369427,0.005217657
271,CQ,I5,0,-0.000575885,0,-0.000575885
272,CQ,I6,0,-0.000575885,0,-0.000575885
273,CR,I2_P,0,-0.000841715,0,0
274,CR,I3_P,0,-0.000830923,0,0
275,CR,I2_A,0,-0.000534165,0,-0.000534165
276,CR,I3_A,0,-0.000534165,0,-0.000534165
277,CR,I1,-0.012903226,-0.000949627,0,-0.00106833
278,CR,I4,0,-0.000949627,0,-0.00106833
279,CR,I5,0,-0.000534165,0,-0.000534165
280,CR,I6,0,-0.000534165,-0.008547009,-0.000534165
281,CS,I2_P,0,-0.000601057,0,0
282,CS,I3_P,0,-0.000593351,0,0
283,CS,I2_A,0,-0.00038144,0,-0.00038144
284,CS,I3_A,0.015503876,0.015122436,-0.009259259,-0.00038144
285,CS,I1,0,-0.000678116,0,-0.00076288
286,CS,I4,0,-0.000678116,0,-0.00076288
287,CS,I5,0,-0.00038144,0,-0.00038144
288,CS,I6,0,-0.00038144,0,-0.00038144
289,CT,I2_P,0,-0.000339268,0,0
290,CT,I3_P,0,-0.000334919,0,0
291,CT,I2_A,0,-0.000215305,0,-0.000215305
292,CT,I3_A,-0.005649718,-0.000215305,-0.002723312,0.006320643
293,CT,I1,0,-0.000382764,0,-0.00043061
294,CT,I4,0,-0.000382764,0,-0.00043061
295,CT,I5,0,-0.000215305,0,-0.000215305
296,CT,I6,0,-0.000215305,0,-0.000215305
297,CV,I2_P,0,-0.000524751,0,0
298,CV,I3_P,0,-0.000518023,0,0
299,CV,I2_A,0,-0.000333015,0,-0.000333015
300,CV,I3_A,0,-0.000333015,0,-0.000333015
301,CV,I1,0,-0.000592027,0,-0.00066603
302,CV,I4,0,-0.000592027,0,-0.00066603
303,CV,I5,0,-0.000333015,0,-0.000333015
304,CV,I6,0,-0.000333015,0,-0.000333015
305,CW,I2_P,0,-4.37E-05,0,0
306,CW,I3_P,0,-4.31E-05,0,0
307,CW,I2_A,0,-2.77E-05,0,-2.77E-05
308,CW,I3_A,0,-2.77E-05,0,-2.77E-05
309,CW,I1,0,-4.93E-05,0,-5.54E-05
310,CW,I4,0,-4.93E-05,0,-5.54E-05
311,CW,I5,0,-2.77E-05,0,-2.77E-05
312,CW,I6,0,-2.77E-05,0,-2.77E-05
313,CY,I2_P,0,-0.000174917,0,0
314,CY,I3_P,0,-0.000172674,0,0
315,CY,I2_A,0,-0.000111005,0,-0.000111005
316,CY,I3_A,0,-0.000111005,0,-0.000111005
317,CY,I1,0,-0.000197342,0,-0.00022201
318,CY,I4,0,-0.000197342,0,-0.00022201
319,CY,I5,0,-0.000111005,0,-0.000111005
320,CY,I6,0,-0.000111005,0,-0.000111005
321,DA,I2_P,0,0,0,0
322,DA,I3_P,0,0,0,0
323,DA,I2_A,0,-0.00386232,0,-0.00386232
324,DA,I3_A,0,-0.00386232,0,-0.00386232
325,DA,I1,0,0,0,0
326,DA,I4,0,0,0,0
327,DA,I5,0,-0.00386232,0,-0.00386232
328,DA,I6,-0.012738854,-0.00386232,0,-0.00386232
329,DC,I2_P,0,0,0,0
330,DC,I3_P,0,0,0,0
331,DC,I2_A,0.007751938,0.007412218,-0.009259259,-0.00033972
332,DC,I3_A,0,-0.00033972,0,-0.00033972
333,DC,I1,0,0,0,0
334,DC,I4,0,0,0,0
335,DC,I5,0,-0.00033972,0,-0.00033972
336,DC,I6,0.008403361,0.008063641,0,-0.00033972
337,DD,I2_P,0,-0.011311011,-0.023255814,-0.0456
338,DD,I3_P,0,-0.011750613,0.005617978,-0.039982022
339,DD,I2_A,0,-0.00207936,0,-0.00207936
340,DD,I3_A,0,-0.00207936,0,-0.00207936
341,DD,I1,0.016806723,0.009891736,0,-0.00207936
342,DD,I4,0.002114053,0.001488375,0,-0.00207936
343,DD,I5,0,-0.00207936,0,-0.00207936
344,DD,I6,0,-0.00207936,-0.008547009,-0.00207936
345,DE,I2_P,0,-0.009987782,0,0
346,DE,I3_P,0,-0.009859733,0,0
347,DE,I2_A,0,-0.0063384,0,-0.0063384
348,DE,I3_A,0,-0.0063384,0,-0.0063384
349,DE,I1,0,-0.011268267,-0.008403361,-0.0126768
350,DE,I4,0.004228106,0.005538456,-0.008403361,-0.0126768
351,DE,I5,0,-0.0063384,0,-0.0063384
352,DE,I6,0.008403361,0.002064961,0,-0.0063384
353,DF,I2_P,0,-0.002076596,0,0
354,DF,I3_P,0,-0.002049973,0,0
355,DF,I2_A,0,-0.00131784,0,-0.00131784
356,DF,I3_A,0,-0.00131784,0,-0.00131784
357,DF,I1,0,-0.002342827,-0.016806723,-0.00263568
358,DF,I4,-0.012578616,-0.002342827,-0.016806723,-0.00263568
359,DF,I5,0,-0.00131784,-0.008403361,-0.00131784
360,DF,I6,0,-0.00131784,0,-0.00131784
361,DG,I2_P,0,-0.001135302,0,0
362,DG,I3_P,0,-0.001120747,0,0
363,DG,I2_A,0,-0.00072048,0,-0.00072048
364,DG,I3_A,0,-0.00072048,0,-0.00072048
365,DG,I1,0.016806723,0.015525869,0,-0.00144096
366,DG,I4,0,-0.001280853,0,-0.00144096
367,DG,I5,0,-0.00072048,0,-0.00072048
368,DG,I6,0,-0.00072048,-0.008547009,-0.00072048
369,DH,I2_P,0.018691589,0.017017378,0,0
370,DH,I3_P,0,-0.001652747,0,0
371,DH,I2_A,0,-0.00106248,0,-0.00106248
372,DH,I3_A,0,-0.00106248,0,-0.00106248
373,DH,I1,0,-0.001888853,0,-0.00212496
374,DH,I4,0,-0.001888853,0,-0.00212496
375,DH,I5,0,-0.00106248,0,-0.00106248
376,DH,I6,-0.006369427,-0.00106248,0,-0.00106248
377,DI,I2_P,0,-0.004749585,0,0
378,DI,I3_P,0,-0.004688693,0,0
379,DI,I2_A,0.007751938,0.004737778,0,-0.00301416
380,DI,I3_A,0,-0.00301416,0,-0.00301416
381,DI,I1,0,-0.005358507,-0.004067869,0.006710534
382,DI,I4,0.016806723,0.011448216,-0.004067869,0.006710534
383,DI,I5,0.025641026,0.022626866,0,-0.00301416
384,DI,I6,0,-0.00301416,0.006329114,0.003314954
385,DK,I2_P,0,-0.005353164,0,0
386,DK,I3_P,0,-0.005284533,0,0
387,DK,I2_A,0,-0.0033972,0,-0.0033972
388,DK,I3_A,0,-0.0033972,0.006535948,0.003138748
389,DK,I1,0.016806723,0.010767256,-0.016806723,-0.0067944
390,DK,I4,0,-0.006039467,-0.016806723,-0.0067944
391,DK,I5,0,-0.0033972,0.006410256,0.003013056
392,DK,I6,0,-0.0033972,0.006329114,0.002931914
393,DL,I2_P,0,-0.011568582,0,0
394,DL,I3_P,0,-0.011420267,0,0
395,DL,I2_A,0.007751938,0.000410338,-0.018518519,-0.0073416
396,DL,I3_A,-0.005649718,-0.0073416,0,-0.0073416
397,DL,I1,0.016806723,0.003754989,-0.002033935,-0.008313773
398,DL,I4,0,-0.013051733,-0.002033935,-0.008313773
399,DL,I5,-0.006369427,-0.0073416,-0.042016807,-0.0073416
400,DL,I6,-0.000267623,0.017868484,-0.017094017,-0.0073416
401,DM,I2_P,0,-0.001940073,0,0
402,DM,I3_P,0,-0.0019152,0,0
403,DM,I2_A,0,-0.0012312,0,-0.0012312
404,DM,I3_A,0,-0.0012312,0,-0.0012312
405,DM,I1,0,-0.0021888,0.006369427,0.003907027
406,DM,I4,0,-0.0021888,0.006369427,0.003907027
407,DM,I5,0,-0.0012312,0,-0.0012312
408,DM,I6,0,-0.0012312,-0.008547009,-0.0012312
409,DN,I2_P,0,-0.002205935,0,0
410,DN,I3_P,0,-0.002177653,0,0
411,DN,I2_A,0,-0.00139992,0,-0.00139992
412,DN,I3_A,0,-0.00139992,0,-0.00139992
413,DN,I1,0,-0.002488747,-0.008403361,-0.00279984
414,DN,I4,0,-0.002488747,-0.008403361,-0.00279984
415,DN,I5,0,-0.00139992,0,-0.00139992
416,DN,I6,0,-0.00139992,0.012658228,0.011258308
417,DP,I2_P,0,-0.000267299,0,0
418,DP,I3_P,0,-0.000263872,0,0
419,DP,I2_A,0,-0.000169632,0,-0.000169632
420,DP,I3_A,0,-0.000169632,0,-0.000169632
421,DP,I1,0,-0.000301568,0,-0.000339264
422,DP,I4,0,-0.000301568,0,-0.000339264
423,DP,I5,0,-0.000169632,0,-0.000169632
424,DP,I6,0,-0.000169632,0,-0.000169632
425,DQ,I2_P,0,-0.005554356,0,0
426,DQ,I3_P,0,-0.005483147,0,0
427,DQ,I2_A,0,-0.00352488,0,-0.00352488
428,DQ,I3_A,0,-0.00352488,0,-0.00352488
429,DQ,I1,0,-0.006266453,-0.002033935,-0.000680333
430,DQ,I4,-0.037735849,-0.006266453,-0.002033935,-0.000680333
431,DQ,I5,0,-0.00352488,0,-0.00352488
432,DQ,I6,0,-0.00352488,0,-0.00352488
433,DR,I2_P,0.018691589,0.013539618,0,0
434,DR,I3_P,0,-0.00508592,0,0
435,DR,I2_A,0,-0.00326952,0,-0.00326952
436,DR,I3_A,0,-0.00326952,0,-0.00326952
437,DR,I1,-0.012903226,-0.00581248,0,-0.00653904
438,DR,I4,-0.012578616,-0.00581248,0,-0.00653904
439,DR,I5,0.017094017,0.013824497,0,-0.00326952
440,DR,I6,0,-0.00326952,0,-0.00326952
441,DS,I2_P,0.018691589,0.015012636,0,0
442,DS,I3_P,0,-0.003631787,0,0
443,DS,I2_A,0,-0.00233472,0,-0.00233472
444,DS,I3_A,0,-0.00233472,0,-0.00233472
445,DS,I1,0,-0.004150613,0,-0.00466944
446,DS,I4,0.016806723,0.012656109,0,-0.00466944
447,DS,I5,0.008547009,0.006212289,0,-0.00233472
448,DS,I6,0,-0.00233472,0,-0.00233472
449,DT,I2_P,0,-0.002076596,0,0
450,DT,I3_P,0,-0.002049973,0,0
451,DT,I2_A,0,-0.00131784,0,-0.00131784
452,DT,I3_A,0,-0.00131784,0,-0.00131784
453,DT,I1,0,-0.002342827,-0.002033935,0.003733747
454,DT,I4,0,-0.002342827,-0.002033935,0.003733747
455,DT,I5,0,-0.00131784,0,-0.00131784
456,DT,I6,0,-0.00131784,0,-0.00131784
457,DV,I2_P,0,-0.003211898,0,0
458,DV,I3_P,-0.013071895,-0.00317072,0,0
459,DV,I2_A,0,-0.00203832,0,-0.00203832
460,DV,I3_A,0,-0.00203832,0,-0.00203832
461,DV,I1,0.016806723,0.013183043,0.006369427,0.002292787
462,DV,I4,0,-0.00362368,0.006369427,0.002292787
463,DV,I5,0,-0.00203832,0,-0.00203832
464,DV,I6,0,-0.00203832,0.006329114,0.004290794
465,DW,I2_P,0,-0.000267299,0,0
466,DW,I3_P,0,-0.000263872,0,0
467,DW,I2_A,0,-0.000169632,0,-0.000169632
468,DW,I3_A,0,-0.000169632,0,-0.000169632
469,DW,I1,0,-0.000301568,0,-0.000339264
470,DW,I4,0,-0.000301568,0,-0.000339264
471,DW,I5,0,-0.000169632,0,-0.000169632
472,DW,I6,0,-0.000169632,0,-0.000169632
473,DY,I2_P,0,-0.001070633,0,0
474,DY,I3_P,0,-0.001056907,0,0
475,DY,I2_A,0,-0.00067944,0,-0.00067944
476,DY,I3_A,0,-0.00067944,0,-0.00067944
477,DY,I1,0,-0.001207893,0,-0.00135888
478,DY,I4,0,-0.001207893,0,-0.00135888
479,DY,I5,0,-0.00067944,0,-0.00067944
480,DY,I6,0,-0.00067944,0.012658228,0.011978788
481,EA,I2_P,0,0,0,0
482,EA,I3_P,0,0,0,0
483,EA,I2_A,0,-0.0117733,0,-0.0117733
484,EA,I3_A,0.009854158,0.003730576,-0.009259259,-0.0117733
485,EA,I1,0,0,0,0
486,EA,I4,0,0,0,0
487,EA,I5,-0.004191845,-0.003226291,0.010827408,0.007457469
488,EA,I6,-0.017074346,-0.003369939,-0.019311912,-0.005444186
489,EC,I2_P,0,0,0,0
490,EC,I3_P,0,0,0,0
491,EC,I2_A,0,-0.00103555,0,-0.00103555
492,EC,I3_A,0,-0.00103555,0,-0.00103555
493,EC,I1,0,0,0,0
494,EC,I4,0,0,0,0
495,EC,I5,0,-0.00103555,-0.016806723,-0.00103555
496,EC,I6,-0.006369427,-0.00103555,0,-0.00103555
497,ED,I2_P,0,0,0,0
498,ED,I3_P,0,0,0,0
499,ED,I2_A,0,-0.0063384,0,-0.0063384
500,ED,I3_A,0,-0.0063384,0,-0.0063384
