,AA,Int,CCplus_APCC_asAPCC,CCplus_PCC_asAPCC,CCplus_APCC_asPCC,CCplus_PCC_asPCC
291,CT,I2_A,0,0,0,0
292,CT,I3_A,0,0.005649718,0.009259259,0.006535948
293,CT,I1,0,0,0,0
294,CT,I4,0,0,0,0
295,CT,I5,0,0,0,0
296,CT,I6,0,0,0,0
297,CV,I2_P,0,0,0,0
298,CV,I3_P,0,0,0,0
299,CV,I2_A,0,0,0,0
300,CV,I3_A,0,0,0,0
301,CV,I1,0,0,0,0
302,CV,I4,0,0,0,0
303,CV,I5,0,0,0,0
304,CV,I6,0,0,0,0
305,CW,I2_P,0,0,0,0
306,CW,I3_P,0,0,0,0
307,CW,I2_A,0,0,0,0
308,CW,I3_A,0,0,0,0
309,CW,I1,0,0,0,0
310,CW,I4,0,0,0,0
311,CW,I5,0,0,0,0
312,CW,I6,0,0,0,0
313,CY,I2_P,0,0,0,0
314,CY,I3_P,0,0,0,0
315,CY,I2_A,0,0,0,0
316,CY,I3_A,0,0,0,0
317,CY,I1,0,0,0,0
318,CY,I4,0,0,0,0
319,CY,I5,0,0,0,0
320,CY,I6,0,0,0,0
321,DA,I2_P,0,0,0,0
322,DA,I3_P,0,0,0,0
323,DA,I2_A,0,0,0,0
324,DA,I3_A,0,0,0,0
325,DA,I1,0,0,0,0
326,DA,I4,0,0,0,0
327,DA,I5,0,0,0,0
328,DA,I6,0,0.012738854,0,0
329,DC,I2_P,0,0,0,0
330,DC,I3_P,0,0,0,0
331,DC,I2_A,0.007751938,0,0.009259259,0
332,DC,I3_A,0,0,0,0
333,DC,I1,0,0,0,0
334,DC,I4,0,0,0,0
335,DC,I5,0,0,0,0
336,DC,I6,0.008403361,0,0,0
337,DD,I2_P,0,0,0.023255814,0
338,DD,I3_P,0,0,0,0.005617978
339,DD,I2_A,0,0,0,0
340,DD,I3_A,0,0,0,0
341,DD,I1,0.016806723,0,0,0
342,DD,I4,0.008403361,0.006289308,0,0
343,DD,I5,0,0,0,0
344,DD,I6,0,0,0.008547009,0
345,DE,I2_P,0,0,0,0
346,DE,I3_P,0,0,0,0
347,DE,I2_A,0,0,0,0
348,DE,I3_A,0,0,0,0
349,DE,I1,0,0,0.008403361,0
350,DE,I4,0.016806723,0.012578616,0.008403361,0
351,DE,I5,0,0,0,0
352,DE,I6,0.008403361,0,0,0
353,DF,I2_P,0,0,0,0
354,DF,I3_P,0,0,0,0
355,DF,I2_A,0,0,0,0
356,DF,I3_A,0,0,0,0
357,DF,I1,0,0,0.016806723,0
358,DF,I4,0,0.012578616,0.016806723,0
359,DF,I5,0,0,0.008403361,0
360,DF,I6,0,0,0,0
361,DG,I2_P,0,0,0,0
362,DG,I3_P,0,0,0,0
363,DG,I2_A,0,0,0,0
364,DG,I3_A,0,0,0,0
365,DG,I1,0.016806723,0,0,0
366,DG,I4,0,0,0,0
367,DG,I5,0,0,0,0
368,DG,I6,0,0,0.008547009,0
369,DH,I2_P,0.018691589,0,0,0
370,DH,I3_P,0,0,0,0
371,DH,I2_A,0,0,0,0
372,DH,I3_A,0,0,0,0
373,DH,I1,0,0,0,0
374,DH,I4,0,0,0,0
375,DH,I5,0,0,0,0
376,DH,I6,0,0.006369427,0,0
377,DI,I2_P,0,0,0,0
378,DI,I3_P,0,0,0,0
379,DI,I2_A,0.007751938,0,0,0
380,DI,I3_A,0,0,0,0
381,DI,I1,0,0,0.016806723,0.012738854
382,DI,I4,0.016806723,0,0.016806723,0.012738854
383,DI,I5,0.025641026,0,0,0
384,DI,I6,0,0,0,0.006329114
385,DK,I2_P,0,0,0,0
386,DK,I3_P,0,0,0,0
387,DK,I2_A,0,0,0,0
388,DK,I3_A,0,0,0,0.006535948
389,DK,I1,0.016806723,0,0.016806723,0
390,DK,I4,0,0,0.016806723,0
391,DK,I5,0,0,0,0.006410256
392,DK,I6,0,0,0,0.006329114
393,DL,I2_P,0,0,0,0
394,DL,I3_P,0,0,0,0
395,DL,I2_A,0.007751938,0,0.018518519,0
396,DL,I3_A,0,0.005649718,0,0
397,DL,I1,0.016806723,0,0.008403361,0.006369427
398,DL,I4,0,0,0.008403361,0.006369427
399,DL,I5,0,0.006369427,0.042016807,0
400,DL,I6,0.025210084,0.025477707,0.017094017,0
401,DM,I2_P,0,0,0,0
402,DM,I3_P,0,0,0,0
403,DM,I2_A,0,0,0,0
404,DM,I3_A,0,0,0,0
405,DM,I1,0,0,0,0.006369427
406,DM,I4,0,0,0,0.006369427
407,DM,I5,0,0,0,0
408,DM,I6,0,0,0.008547009,0
409,DN,I2_P,0,0,0,0
410,DN,I3_P,0,0,0,0
411,DN,I2_A,0,0,0,0
412,DN,I3_A,0,0,0,0
413,DN,I1,0,0,0.008403361,0
414,DN,I4,0,0,0.008403361,0
415,DN,I5,0,0,0,0
416,DN,I6,0,0,0,0.012658228
417,DP,I2_P,0,0,0,0
418,DP,I3_P,0,0,0,0
419,DP,I2_A,0,0,0,0
420,DP,I3_A,0,0,0,0
421,DP,I1,0,0,0,0
422,DP,I4,0,0,0,0
423,DP,I5,0,0,0,0
424,DP,I6,0,0,0,0
425,DQ,I2_P,0,0,0,0
426,DQ,I3_P,0,0,0,0
427,DQ,I2_A,0,0,0,0
428,DQ,I3_A,0,0,0,0
429,DQ,I1,0,0,0.008403361,0.006369427
430,DQ,I4,0,0.037735849,0.008403361,0.006369427
431,DQ,I5,0,0,0,0
432,DQ,I6,0,0,0,0
433,DR,I2_P,0.018691589,0,0,0
434,DR,I3_P,0,0,0,0
435,DR,I2_A,0,0,0,0
436,DR,I3_A,0,0,0,0
437,DR,I1,0,0.012903226,0,0
438,DR,I4,0,0.012578616,0,0
439,DR,I5,0.017094017,0,0,0
440,DR,I6,0,0,0,0
441,DS,I2_P,0.018691589,0,0,0
442,DS,I3_P,0,0,0,0
443,DS,I2_A,0,0,0,0
444,DS,I3_A,0,0,0,0
445,DS,I1,0,0,0,0
446,DS,I4,0.016806723,0,0,0
447,DS,I5,0.008547009,0,0,0
448,DS,I6,0,0,0,0
449,DT,I2_P,0,0,0,0
450,DT,I3_P,0,0,0,0
451,DT,I2_A,0,0,0,0
452,DT,I3_A,0,0,0,0
453,DT,I1,0,0,0.008403361,0.006369427
454,DT,I4,0,0,0.008403361,0.006369427
455,DT,I5,0,0,0,0
456,DT,I6,0,0,0,0
457,DV,I2_P,0,0,0,0
458,DV,I3_P,0,0.013071895,0,0
459,DV,I2_A,0,0,0,0
460,DV,I3_A,0,0,0,0
461,DV,I1,0.016806723,0,0,0.006369427
462,DV,I4,0,0,0,0.006369427
463,DV,I5,0,0,0,0
464,DV,I6,0,0,0,0.006329114
465,DW,I2_P,0,0,0,0
466,DW,I3_P,0,0,0,0
467,DW,I2_A,0,0,0,0
468,DW,I3_A,0,0,0,0
469,DW,I1,0,0,0,0
470,DW,I4,0,0,0,0
471,DW,I5,0,0,0,0
472,DW,I6,0,0,0,0
473,DY,I2_P,0,0,0,0
474,DY,I3_P,0,0,0,0
475,DY,I2_A,0,0,0,0
476,DY,I3_A,0,0,0,0
477,DY,I1,0,0,0,0
478,DY,I4,0,0,0,0
479,DY,I5,0,0,0,0
480,DY,I6,0,0,0,0.012658228
481,EA,I2_P,0,0,0,0
482,EA,I3_P,0,0,0,0
483,EA,I2_A,0,0,0,0
484,EA,I3_A,0.015503876,0.005649718,0.009259259,0
485,EA,I1,0,0,0,0
486,EA,I4,0,0,0,0
487,EA,I5,0.008547009,0.012738854,0.008403361,0.019230769
488,EA,I6,0.008403361,0.025477707,0.025641026,0.006329114
489,EC,I2_P,0,0,0,0
490,EC,I3_P,0,0,0,0
491,EC,I2_A,0,0,0,0
