"AA","Int","Probibility","P_value","delabel"
"DL","I2_A","0.00775193798449612","0.352906640060192",NA
"DL","I3_A","-0.00564971751412429","0.481485028299196",NA
"DL","I1","0.0168067226890756","0.137041223908032",NA
"DL","I4","0","0.471992995287863",NA
"DL","I5","-0.00636942675159236","0.473498574198843",NA
"DL","I6","-0.000267622972755982","0.226877220106033",NA
"DM","I2_P","0","0.495770649975813",NA
"DM","I3_P","0","0.486113054319451",NA
"DM","I2_A","0","0.481485028299196",NA
"DM","I3_A","0","0.481485028299196",NA
"DM","I1","0","0.462906945763132",NA
"DM","I4","0","0.471992995287863",NA
"DM","I5","0","0.473498574198843",NA
"DM","I6","0","0.467485954874578",NA
"DN","I2_P","0","0.495770649975813",NA
"DN","I3_P","0","0.486113054319451",NA
"DN","I2_A","0","0.481485028299196",NA
"DN","I3_A","0","0.481485028299196",NA
"DN","I1","0","0.462906945763132",NA
"DN","I4","0","0.471992995287863",NA
"DN","I5","0","0.473498574198843",NA
"DN","I6","0","0.467485954874578",NA
"DP","I2_P","0","0.495770649975813",NA
"DP","I3_P","0","0.486113054319451",NA
"DP","I2_A","0","0.481485028299196",NA
"DP","I3_A","0","0.481485028299196",NA
"DP","I1","0","0.462906945763132",NA
"DP","I4","0","0.471992995287863",NA
"DP","I5","0","0.473498574198843",NA
"DP","I6","0","0.467485954874578",NA
"DQ","I2_P","0","0.495770649975813",NA
"DQ","I3_P","0","0.486113054319451",NA
"DQ","I2_A","0","0.481485028299196",NA
"DQ","I3_A","0","0.481485028299196",NA
"DQ","I1","0","0.462906945763132",NA
"DQ","I4","-0.0377358490566038","0.0102806949560883","DQ"
"DQ","I5","0","0.473498574198843",NA
"DQ","I6","0","0.467485954874578",NA
"DR","I2_P","0.0186915887850467","0.121689549688926",NA
"DR","I3_P","0","0.486113054319451",NA
"DR","I2_A","0","0.481485028299196",NA
"DR","I3_A","0","0.481485028299196",NA
"DR","I1","-0.0129032258064516","0.213210301859674",NA
"DR","I4","-0.0125786163522013","0.221717943927167",NA
"DR","I5","0.0170940170940171","0.132033256266995",NA
"DR","I6","0","0.467485954874578",NA
"DS","I2_P","0.0186915887850467","0.121689549688926",NA
"DS","I3_P","0","0.486113054319451",NA
"DS","I2_A","0","0.481485028299196",NA
"DS","I3_A","0","0.481485028299196",NA
"DS","I1","0","0.462906945763132",NA
"DS","I4","0.0168067226890756","0.132745666556487",NA
"DS","I5","0.00854700854700855","0.35512393064915",NA
"DS","I6","0","0.467485954874578",NA
"DT","I2_P","0","0.495770649975813",NA
"DT","I3_P","0","0.486113054319451",NA
"DT","I2_A","0","0.481485028299196",NA
"DT","I3_A","0","0.481485028299196",NA
"DT","I1","0","0.462906945763132",NA
"DT","I4","0","0.471992995287863",NA
"DT","I5","0","0.473498574198843",NA
"DT","I6","0","0.467485954874578",NA
"DV","I2_P","0","0.495770649975813",NA
"DV","I3_P","-0.0130718954248366","0.235183479998469",NA
"DV","I2_A","0","0.481485028299196",NA
"DV","I3_A","0","0.481485028299196",NA
"DV","I1","0.0168067226890756","0.137041223908032",NA
"DV","I4","0","0.471992995287863",NA
"DV","I5","0","0.473498574198843",NA
"DV","I6","0","0.467485954874578",NA
"DW","I2_P","0","0.495770649975813",NA
"DW","I3_P","0","0.486113054319451",NA
"DW","I2_A","0","0.481485028299196",NA
"DW","I3_A","0","0.481485028299196",NA
"DW","I1","0","0.462906945763132",NA
"DW","I4","0","0.471992995287863",NA
"DW","I5","0","0.473498574198843",NA
"DW","I6","0","0.467485954874578",NA
"DY","I2_P","0","0.495770649975813",NA
"DY","I3_P","0","0.486113054319451",NA
"DY","I2_A","0","0.481485028299196",NA
"DY","I3_A","0","0.481485028299196",NA
"DY","I1","0","0.462906945763132",NA
"DY","I4","0","0.471992995287863",NA
"DY","I5","0","0.473498574198843",NA
"DY","I6","0","0.467485954874578",NA
"EA","I2_P","0","0.495770649975813",NA
"EA","I3_P","0","0.486113054319451",NA
"EA","I2_A","0","0.481485028299196",NA
"EA","I3_A","0.00985415845486795","0.128329687294627",NA
"EA","I1","0","0.462906945763132",NA
